hour,game,count
0,Game 1,8
1,Game 1,6
2,Game 1,9
3,Game 1,6
4,Game 1,0
5,Game 1,1
6,Game 1,3
7,Game 1,1
8,Game 1,6
9,Game 1,10
10,Game 1,7
11,Game 1,6
12,Game 1,9
13,Game 1,16
14,Game 1,16
15,Game 1,13
16,Game 1,14
17,Game 1,10
18,Game 1,28
19,Game 1,12
20,Game 1,14
21,Game 1,7
22,Game 1,14
23,Game 1,5
0,Game 2,5
1,Game 2,4
2,Game 2,8
3,Game 2,1
4,Game 2,2
5,Game 2,1
6,Game 2,2
7,Game 2,6
8,Game 2,4
9,Game 2,8
10,Game 2,23
11,Game 2,8
12,Game 2,10
13,Game 2,10
14,Game 2,8
15,Game 2,12
16,Game 2,19
17,Game 2,15
18,Game 2,10
19,Game 2,7
20,Game 2,5
21,Game 2,11
22,Game 2,6
23,Game 2,5
0,Game 3,13
1,Game 3,4
2,Game 3,2
3,Game 3,1
4,Game 3,1
5,Game 3,1
6,Game 3,6
7,Game 3,10
8,Game 3,4
9,Game 3,19
10,Game 3,8
11,Game 3,17
12,Game 3,8
13,Game 3,8
14,Game 3,14
15,Game 3,13
16,Game 3,19
17,Game 3,21
18,Game 3,24
19,Game 3,14
20,Game 3,25
21,Game 3,15
22,Game 3,11
23,Game 3,14
0,Game 4,17
1,Game 4,14
2,Game 4,8
3,Game 4,10
4,Game 4,5
5,Game 4,1
6,Game 4,1
7,Game 4,1
8,Game 4,7
9,Game 4,5
10,Game 4,10
11,Game 4,15
12,Game 4,8
13,Game 4,8
14,Game 4,10
15,Game 4,22
16,Game 4,17
17,Game 4,6
18,Game 4,11
19,Game 4,14
20,Game 4,20
21,Game 4,16
22,Game 4,18
23,Game 4,10
0,Game 5,13
1,Game 5,8
2,Game 5,2
3,Game 5,8
4,Game 5,0
5,Game 5,4
6,Game 5,5
7,Game 5,0
8,Game 5,4
9,Game 5,5
10,Game 5,4
11,Game 5,9
12,Game 5,11
13,Game 5,5
14,Game 5,6
15,Game 5,21
16,Game 5,12
17,Game 5,11
18,Game 5,17
19,Game 5,12
20,Game 5,19
21,Game 5,16
22,Game 5,12
23,Game 5,10
0,Game 6,16
1,Game 6,4
2,Game 6,4
3,Game 6,3
4,Game 6,2
5,Game 6,4
6,Game 6,1
7,Game 6,8
8,Game 6,12
9,Game 6,5
10,Game 6,6
11,Game 6,11
12,Game 6,8
13,Game 6,3
14,Game 6,5
15,Game 6,10
16,Game 6,17
17,Game 6,23
18,Game 6,28
19,Game 6,17
20,Game 6,12
21,Game 6,14
22,Game 6,10
23,Game 6,7
0,Game 7,10
1,Game 7,4
2,Game 7,2
3,Game 7,0
4,Game 7,1
5,Game 7,1
6,Game 7,2
7,Game 7,6
8,Game 7,4
9,Game 7,9
10,Game 7,12
11,Game 7,7
12,Game 7,19
13,Game 7,13
14,Game 7,12
15,Game 7,8
16,Game 7,16
17,Game 7,17
18,Game 7,23
19,Game 7,10
20,Game 7,19
21,Game 7,20
22,Game 7,30
23,Game 7,39
